product_id,product_name,category,image_url
1000,Fresh Tortilla Chips Classic,Snacks,https://example.com/images/snacks/e802b426-0ca8-4f66-afd4-354810810bdb.jpg
1001,Organic Popcorn Premium,Snacks,https://example.com/images/snacks/9199d084-9592-4b9b-b7f2-b5fe92a4a5c1.jpg
1002,Tortilla Chips Select,Snacks,https://example.com/images/snacks/de178c35-d0d8-4b0e-9275-9d9c15f41a05.jpg
1003,Nature Tortilla Chips,Snacks,https://example.com/images/snacks/3637d987-7b0e-49c9-9c6c-6efe44c17e05.jpg
1004,Fresh Potato Chips Pack,Snacks,https://example.com/images/snacks/177e9b58-cc8a-40b9-907a-2e36dcec0990.jpg
1005,Organic Popcorn Select,Snacks,https://example.com/images/snacks/1fabe491-0be3-49c0-a996-5159e7f78d69.jpg
1006,Fresh Gummy Bears Select,Snacks,https://example.com/images/snacks/91d7ebf6-ee46-48ba-a8dc-5f3968b98d89.jpg
1007,Popcorn Select,Snacks,https://example.com/images/snacks/c24a17ec-5f79-4e2c-b042-3329f611e1fc.jpg
1008,Organic Trail Mix,Snacks,https://example.com/images/snacks/77e376a3-9d94-4d0b-a16b-eea1c8ad0b81.jpg
1009,Golden Gummy Bears Pack,Snacks,https://example.com/images/snacks/b8063a6e-d395-422f-85d1-66d53c15b6ad.jpg
1010,Pretzels,Snacks,https://example.com/images/snacks/4236cb2d-d0ac-446a-9e06-c28a77e2898f.jpg
1011,Golden Granola Bars Premium,Snacks,https://example.com/images/snacks/ec432b31-9800-4401-b99a-d0d7b997ca1a.jpg
1012,Golden Popcorn Pack,Snacks,https://example.com/images/snacks/83108ea0-8e37-40ae-8038-4de01bd5a14f.jpg
1013,Pure Tortilla Chips Pack,Snacks,https://example.com/images/snacks/e33c5792-a215-463b-aff0-0abf4fce79c0.jpg
1014,Golden Granola Bars Select,Snacks,https://example.com/images/snacks/21b36d8a-49dd-490d-b7a1-bd77fa7eb0c9.jpg
1015,Fresh Cheese Puffs,Snacks,https://example.com/images/snacks/616d543b-0fb7-4d46-a92e-b70b434791fc.jpg
